phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
7054950,https://68d1afd79d3880800.temporary.link/DZFE65SG2Q3FD2D3GMFVXPLFHFDD/DGSD5F45ghdf41csdfvhgfDFGR2HDF22/FZRGEH5G6EZG6FDVSD5CE/,http://www.phishtank.com/phish_detail.php?phish_id=7054950,2021-04-02T04:49:12+00:00,yes,2021-04-02T04:53:12+00:00,yes,Other
7054949,http://bit.do//track-package,http://www.phishtank.com/phish_detail.php?phish_id=7054949,2021-04-02T04:49:11+00:00,yes,2021-04-02T04:52:19+00:00,yes,Other
7054943,https://www.amazon-check-co-jp.n2k.top/?ord8hfeblcsrsqgq,http://www.phishtank.com/phish_detail.php?phish_id=7054943,2021-04-02T04:17:21+00:00,yes,2021-04-02T04:21:09+00:00,yes,Amazon.com
7054940,http://docomonjo.com,http://www.phishtank.com/phish_detail.php?phish_id=7054940,2021-04-02T04:09:38+00:00,yes,2021-04-02T04:11:37+00:00,yes,Other
7054936,http://stripcoach.ml/ncv/login.php?cmd=login_submit&id=MjEzNTE5NTU0OA==MjEzNTE5NTU0OA==&session=MjEzNTE5NTU0OA==MjEzNTE5NTU0OA==,http://www.phishtank.com/phish_detail.php?phish_id=7054936,2021-04-02T04:01:24+00:00,yes,2021-04-02T04:05:33+00:00,yes,Other
7054935,http://stripcoach.ml/ncv/,http://www.phishtank.com/phish_detail.php?phish_id=7054935,2021-04-02T04:01:22+00:00,yes,2021-04-02T04:05:33+00:00,yes,Other
7054934,https://halionlinebankingsystem.com/,http://www.phishtank.com/phish_detail.php?phish_id=7054934,2021-04-02T04:01:17+00:00,yes,2021-04-02T04:05:33+00:00,yes,Other
7054933,http://mail.o2-confirm-billing-info.com/02%20page/,http://www.phishtank.com/phish_detail.php?phish_id=7054933,2021-04-02T04:01:13+00:00,yes,2021-04-02T04:05:33+00:00,yes,Other
7054932,http://yo-he.com/https.paypqal.login-app.server.exploitaccount.validate.cpsess275865282.security-mesure.dispatching.info-loginto/welcome/8ab7f7c6486bf86d1b5d8205dbd59614/?dispatch=gI8E9dnTSSDumYZpi0t593Yjfx14krIB9Qgj4EcWwQrSPrh7sL&email=,http://www.phishtank.com/phish_detail.php?phish_id=7054932,2021-04-02T04:01:10+00:00,yes,2021-04-02T04:05:33+00:00,yes,Other
7054931,http://yo-he.com/https.paypqal.login-app.server.exploitaccount.validate.cpsess275865282.security-mesure.dispatching.info-loginto/welcome/,http://www.phishtank.com/phish_detail.php?phish_id=7054931,2021-04-02T04:01:08+00:00,yes,2021-04-02T04:05:33+00:00,yes,Other
